Label (Grouping),ZCTA5 64014!!Estimate,ZCTA5 64014!!Percent,ZCTA5 64015!!Estimate,ZCTA5 64015!!Percent,ZCTA5 64016!!Estimate,ZCTA5 64016!!Percent,ZCTA5 64029!!Estimate,ZCTA5 64029!!Percent,ZCTA5 64030!!Estimate,ZCTA5 64030!!Percent,ZCTA5 64034!!Estimate,ZCTA5 64034!!Percent,ZCTA5 64050!!Estimate,ZCTA5 64050!!Percent,ZCTA5 64052!!Estimate,ZCTA5 64052!!Percent,ZCTA5 64053!!Estimate,ZCTA5 64053!!Percent,ZCTA5 64054!!Estimate,ZCTA5 64054!!Percent,ZCTA5 64055!!Estimate,ZCTA5 64055!!Percent,ZCTA5 64056!!Estimate,ZCTA5 64056!!Percent,ZCTA5 64057!!Estimate,ZCTA5 64057!!Percent,ZCTA5 64058!!Estimate,ZCTA5 64058!!Percent,ZCTA5 64063!!Estimate,ZCTA5 64063!!Percent,ZCTA5 64064!!Estimate,ZCTA5 64064!!Percent,ZCTA5 64070!!Estimate,ZCTA5 64070!!Percent,ZCTA5 64075!!Estimate,ZCTA5 64075!!Percent,ZCTA5 64081!!Estimate,ZCTA5 64081!!Percent,ZCTA5 64082!!Estimate,ZCTA5 64082!!Percent,ZCTA5 64086!!Estimate,ZCTA5 64086!!Percent,ZCTA5 64088!!Estimate,ZCTA5 64088!!Percent,ZCTA5 64101!!Estimate,ZCTA5 64101!!Percent,ZCTA5 64102!!Estimate,ZCTA5 64102!!Percent,ZCTA5 64105!!Estimate,ZCTA5 64105!!Percent,ZCTA5 64106!!Estimate,ZCTA5 64106!!Percent,ZCTA5 64108!!Estimate,ZCTA5 64108!!Percent,ZCTA5 64109!!Estimate,ZCTA5 64109!!Percent,ZCTA5 64110!!Estimate,ZCTA5 64110!!Percent,ZCTA5 64111!!Estimate,ZCTA5 64111!!Percent,ZCTA5 64112!!Estimate,ZCTA5 64112!!Percent,ZCTA5 64113!!Estimate,ZCTA5 64113!!Percent,ZCTA5 64114!!Estimate,ZCTA5 64114!!Percent,ZCTA5 64120!!Estimate,ZCTA5 64120!!Percent,ZCTA5 64123!!Estimate,ZCTA5 64123!!Percent,ZCTA5 64124!!Estimate,ZCTA5 64124!!Percent,ZCTA5 64125!!Estimate,ZCTA5 64125!!Percent,ZCTA5 64126!!Estimate,ZCTA5 64126!!Percent,ZCTA5 64127!!Estimate,ZCTA5 64127!!Percent,ZCTA5 64128!!Estimate,ZCTA5 64128!!Percent,ZCTA5 64129!!Estimate,ZCTA5 64129!!Percent,ZCTA5 64130!!Estimate,ZCTA5 64130!!Percent,ZCTA5 64131!!Estimate,ZCTA5 64131!!Percent,ZCTA5 64132!!Estimate,ZCTA5 64132!!Percent,ZCTA5 64133!!Estimate,ZCTA5 64133!!Percent,ZCTA5 64134!!Estimate,ZCTA5 64134!!Percent,ZCTA5 64136!!Estimate,ZCTA5 64136!!Percent,ZCTA5 64137!!Estimate,ZCTA5 64137!!Percent,ZCTA5 64138!!Estimate,ZCTA5 64138!!Percent,ZCTA5 64139!!Estimate,ZCTA5 64139!!Percent,ZCTA5 64145!!Estimate,ZCTA5 64145!!Percent,ZCTA5 64146!!Estimate,ZCTA5 64146!!Percent,ZCTA5 64147!!Estimate,ZCTA5 64147!!Percent
"        Female householder, no spouse/partner present","2,923",27.60%,"2,867",23.20%,481,27.70%,"1,798",23.80%,"4,205",37.80%,374,11.90%,"3,440",36.20%,"2,704",28.50%,855,34.30%,357,28.50%,"4,772",30.20%,"2,001",32.50%,"1,775",28.60%,692,29.00%,"2,287",26.30%,"1,771",23.80%,93,8.10%,732,17.10%,"2,884",29.00%,"1,045",16.30%,"1,547",16.90%,36,7.90%,32,49.20%,0,-,"1,472",36.30%,"2,104",39.40%,"2,205",43.50%,"1,787",38.10%,"2,863",37.60%,"3,802",35.70%,"1,641",33.30%,800,16.80%,"4,706",36.80%,42,14.10%,"1,152",29.60%,945,24.90%,210,32.90%,664,32.30%,"3,632",49.90%,"2,618",50.00%,"1,367",39.50%,"3,894",45.40%,"3,800",39.20%,"2,405",49.80%,"5,233",34.00%,"3,240",36.50%,282,39.90%,"1,589",35.90%,"3,717",36.10%,164,22.50%,554,27.20%,253,34.70%,141,85.50%
            With children of the householder under 18 years,"1,211",11.40%,675,5.50%,48,2.80%,421,5.60%,689,6.20%,108,3.40%,496,5.20%,621,6.60%,384,15.40%,39,3.10%,693,4.40%,987,16.00%,287,4.60%,52,2.20%,532,6.10%,465,6.20%,29,2.50%,76,1.80%,332,3.30%,359,5.60%,442,4.80%,8,1.70%,0,0.00%,0,-,0,0.00%,543,10.20%,359,7.10%,132,2.80%,457,6.00%,111,1.00%,65,1.30%,33,0.70%,384,3.00%,5,1.70%,229,5.90%,205,5.40%,90,14.10%,244,11.90%,453,6.20%,707,13.50%,224,6.50%,825,9.60%,788,8.10%,718,14.90%,"1,110",7.20%,748,8.40%,91,12.90%,294,6.60%,631,6.10%,33,4.50%,49,2.40%,0,0.00%,105,63.60%
            Householder living alone,"1,175",11.10%,"1,661",13.40%,350,20.10%,948,12.60%,"2,382",21.40%,121,3.90%,"2,421",25.50%,"1,346",14.20%,332,13.30%,195,15.60%,"3,185",20.20%,598,9.70%,"1,169",18.90%,402,16.80%,"1,256",14.50%,"1,066",14.30%,59,5.10%,509,11.90%,"2,127",21.40%,444,6.90%,815,8.90%,23,5.00%,32,49.20%,0,-,"1,251",30.90%,"1,201",22.50%,"1,431",28.20%,"1,233",26.30%,"1,642",21.50%,"2,947",27.60%,"1,350",27.40%,564,11.90%,"3,743",29.30%,11,3.70%,506,13.00%,470,12.40%,91,14.30%,245,11.90%,"2,219",30.50%,"1,139",21.70%,808,23.40%,"2,143",25.00%,"1,991",20.50%,904,18.70%,"2,425",15.80%,"1,661",18.70%,151,21.40%,924,20.90%,"2,307",22.40%,107,14.70%,442,21.70%,217,29.70%,0,0.00%
                65 years and over,395,3.70%,"1,021",8.30%,269,15.50%,532,7.00%,"1,010",9.10%,37,1.20%,"1,297",13.70%,494,5.20%,92,3.70%,63,5.00%,"1,781",11.30%,271,4.40%,806,13.00%,191,8.00%,406,4.70%,501,6.70%,42,3.60%,332,7.80%,"1,102",11.10%,319,5.00%,380,4.20%,20,4.40%,0,0.00%,0,-,181,4.50%,176,3.30%,238,4.70%,248,5.30%,618,8.10%,633,5.90%,366,7.40%,358,7.50%,"1,560",12.20%,0,0.00%,108,2.80%,69,1.80%,41,6.40%,177,8.60%,614,8.40%,568,10.80%,171,4.90%,878,10.20%,524,5.40%,381,7.90%,995,6.50%,496,5.60%,151,21.40%,237,5.30%,686,6.70%,72,9.90%,322,15.80%,63,8.60%,0,0.00%
        Households with one or more people under 18 years,"4,230",40.00%,"4,051",32.80%,596,34.30%,"3,122",41.40%,"2,812",25.30%,"1,087",34.60%,"2,056",21.70%,"2,534",26.70%,784,31.50%,418,33.30%,"4,080",25.80%,"2,527",41.00%,"1,325",21.40%,862,36.10%,"2,847",32.80%,"2,594",34.80%,359,31.20%,"1,376",32.20%,"3,274",32.90%,"3,120",48.60%,"3,230",35.30%,190,41.50%,0,0.00%,0,-,105,2.60%,770,14.40%,617,12.20%,898,19.10%,"1,690",22.20%,729,6.80%,410,8.30%,"1,644",34.60%,"2,221",17.40%,24,8.10%,"1,183",30.40%,"1,212",31.90%,308,48.30%,728,35.40%,"1,871",25.70%,"1,428",27.20%,928,26.80%,"2,015",23.50%,"2,475",25.50%,"1,505",31.20%,"4,302",28.00%,"2,642",29.80%,171,24.20%,"1,152",26.00%,"2,409",23.40%,336,46.00%,435,21.30%,126,17.30%,120,72.70%
        Households with one or more people 65 years and over,"2,483",23.50%,"4,001",32.40%,633,36.40%,"1,904",25.20%,"2,873",25.90%,768,24.50%,"3,313",34.90%,"2,533",26.70%,486,19.50%,385,30.70%,"6,069",38.40%,"1,418",23.00%,"2,405",38.80%,664,27.80%,"1,735",20.00%,"2,453",32.90%,375,32.60%,"1,308",30.60%,"3,454",34.70%,"1,563",24.40%,"2,315",25.30%,144,31.40%,0,0.00%,0,-,291,7.20%,537,10.10%,828,16.30%,724,15.40%,"1,506",19.80%,"1,734",16.30%,"1,215",24.70%,"1,461",30.70%,"3,847",30.10%,19,6.40%,543,14.00%,661,17.40%,123,19.30%,563,27.40%,"2,030",27.90%,"1,825",34.80%,964,27.90%,"2,983",34.80%,"2,288",23.60%,"1,344",27.80%,"4,515",29.40%,"2,238",25.20%,270,38.20%,986,22.30%,"2,863",27.80%,155,21.20%,964,47.30%,259,35.50%,0,0.00%
        Average household size,2.62,(X),2.58,(X),2.66,(X),2.82,(X),2.31,(X),2.77,(X),2.17,(X),2.34,(X),2.56,(X),2.47,(X),2.28,(X),2.94,(X),2.24,(X),2.76,(X),2.44,(X),2.63,(X),2.63,(X),2.73,(X),2.47,(X),3,(X),2.62,(X),2.89,(X),-,(X),-,(X),1.37,(X),1.8,(X),1.79,(X),2.09,(X),2.1,(X),1.57,(X),1.68,(X),2.62,(X),1.93,(X),1.95,(X),2.68,(X),2.88,(X),3.66,(X),2.7,(X),2.37,(X),2.38,(X),2.41,(X),2.25,(X),2.25,(X),2.48,(X),2.41,(X),2.58,(X),2.23,(X),2.23,(X),2.33,(X),2.91,(X),2.29,(X),1.69,(X),3.01,(X)
        Average family size,3,(X),3.15,(X),3.21,(X),3.32,(X),3.14,(X),2.89,(X),3.02,(X),3.05,(X),3.44,(X),3.1,(X),2.95,(X),3.3,(X),2.85,(X),3.32,(X),2.93,(X),3.08,(X),2.88,(X),3.15,(X),3.05,(X),3.22,(X),3.08,(X),3.13,(X),-,(X),-,(X),2.11,(X),3.16,(X),2.85,(X),3.32,(X),2.95,(X),2.49,(X),2.43,(X),3.05,(X),2.72,(X),3.28,(X),3.66,(X),3.95,(X),4.69,(X),3.31,(X),3.69,(X),3.49,(X),3.31,(X),3.23,(X),3.03,(X),3.23,(X),3.12,(X),3.31,(X),3.05,(X),3.07,(X),3.16,(X),3.4,(X),2.83,(X),2.32,(X),3.26,(X)
RELATIONSHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Population in households,"27,775","27,775","31,943","31,943","4,628","4,628","21,287","21,287","25,638","25,638","8,703","8,703","20,634","20,634","22,144","22,144","6,383","6,383","3,100","3,100","36,049","36,049","18,097","18,097","13,861","13,861","6,589","6,589","21,189","21,189","19,597","19,597","3,032","3,032","11,686","11,686","24,635","24,635","19,254","19,254","24,010","24,010","1,325","1,325",65,65,0,0,"5,543","5,543","9,592","9,592","9,093","9,093","9,816","9,816","16,000","16,000","16,770","16,770","8,267","8,267","12,446","12,446","24,683","24,683",580,580,"10,434","10,434","10,926","10,926","2,334","2,334","5,551","5,551","17,242","17,242","12,452","12,452","8,315","8,315","19,299","19,299","21,811","21,811","11,959","11,959","37,053","37,053","22,915","22,915","1,576","1,576","9,866","9,866","23,929","23,929","2,124","2,124","4,665","4,665","1,233","1,233",497,497
        Householder,"10,588",38.10%,"12,363",38.70%,"1,738",37.60%,"7,550",35.50%,"11,113",43.30%,"3,139",36.10%,"9,494",46.00%,"9,476",42.80%,"2,492",39.00%,"1,254",40.50%,"15,790",43.80%,"6,158",34.00%,"6,198",44.70%,"2,389",36.30%,"8,685",41.00%,"7,448",38.00%,"1,151",38.00%,"4,274",36.60%,"9,958",40.40%,"6,415",33.30%,"9,155",38.10%,458,34.60%,65,100.00%,0,-,"4,052",73.10%,"5,340",55.70%,"5,069",55.70%,"4,696",47.80%,"7,620",47.60%,"10,661",63.60%,"4,921",59.50%,"4,753",38.20%,"12,779",51.80%,297,51.20%,"3,890",37.30%,"3,800",34.80%,638,27.30%,"2,056",37.00%,"7,279",42.20%,"5,241",42.10%,"3,457",41.60%,"8,574",44.40%,"9,697",44.50%,"4,828",40.40%,"15,369",41.50%,"8,878",38.70%,707,44.90%,"4,431",44.90%,"10,290",43.00%,730,34.40%,"2,038",43.70%,730,59.20%,165,33.20%
        Spouse,"5,825",21.00%,"6,629",20.80%,972,21.00%,"4,226",19.90%,"3,539",13.80%,"2,258",25.90%,"2,787",13.50%,"3,241",14.60%,741,11.60%,583,18.80%,"6,384",17.70%,"3,249",18.00%,"2,837",20.50%,"1,124",17.10%,"4,077",19.20%,"4,458",22.70%,914,30.10%,"2,407",20.60%,"5,405",21.90%,"4,727",24.60%,"5,513",23.00%,292,22.00%,0,0.00%,0,-,527,9.50%,770,8.00%,934,10.30%,"1,234",12.60%,"1,951",12.20%,"1,749",10.40%,"1,528",18.50%,"3,147",25.30%,"4,728",19.20%,34,5.90%,"1,479",14.20%,"1,481",13.60%,291,12.50%,650,11.70%,"1,604",9.30%,832,6.70%,"1,064",12.80%,"1,626",8.40%,"2,931",13.40%,793,6.60%,"5,897",15.90%,"2,926",12.80%,214,13.60%,"1,698",17.20%,"3,731",15.60%,412,19.40%,"1,112",23.80%,235,19.10%,8,1.60%
        Unmarried partner,660,2.40%,676,2.10%,110,2.40%,563,2.60%,562,2.20%,238,2.70%,752,3.60%,"1,298",5.90%,188,2.90%,99,3.20%,"1,424",4.00%,406,2.20%,433,3.10%,133,2.00%,655,3.10%,341,1.70%,79,2.60%,319,2.70%,665,2.70%,289,1.50%,652,2.70%,39,2.90%,0,0.00%,0,-,384,6.90%,343,3.60%,431,4.70%,448,4.60%,635,4.00%,874,5.20%,242,2.90%,286,2.30%,"1,002",4.10%,34,5.90%,230,2.20%,371,3.40%,62,2.70%,263,4.70%,464,2.70%,338,2.70%,266,3.20%,730,3.80%,800,3.70%,507,4.20%,"1,108",3.00%,784,3.40%,35,2.20%,170,1.70%,868,3.60%,135,6.40%,142,3.00%,29,2.40%,0,0.00%
        Child,"9,099",32.80%,"10,312",32.30%,"1,233",26.60%,"7,551",35.50%,"7,333",28.60%,"2,537",29.20%,"5,081",24.60%,"6,049",27.30%,"2,124",33.30%,643,20.70%,"9,500",26.40%,"6,722",37.10%,"3,576",25.80%,"2,069",31.40%,"6,388",30.10%,"6,272",32.00%,797,26.30%,"3,296",28.20%,"7,034",28.60%,"6,651",34.50%,"7,493",31.20%,389,29.40%,0,0.00%,0,-,91,1.60%,"2,656",27.70%,"1,837",20.20%,"2,326",23.70%,"3,518",22.00%,"1,291",7.70%,802,9.70%,"3,843",30.90%,"4,752",19.30%,127,21.90%,"3,675",35.20%,"3,990",36.50%,"1,039",44.50%,"2,099",37.80%,"5,597",32.50%,"4,536",36.40%,"2,659",32.00%,"5,873",30.40%,"5,835",26.80%,"3,826",32.00%,"11,320",30.60%,"7,687",33.50%,471,29.90%,"2,499",25.30%,"6,959",29.10%,773,36.40%,"1,086",23.30%,180,14.60%,284,57.10%
        Other relatives,"1,010",3.60%,"1,237",3.90%,375,8.10%,"1,014",4.80%,"1,664",6.50%,441,5.10%,"1,546",7.50%,"1,321",6.00%,659,10.30%,457,14.70%,"1,937",5.40%,"1,231",6.80%,674,4.90%,708,10.70%,718,3.40%,803,4.10%,79,2.60%,861,7.40%,"1,205",4.90%,738,3.80%,810,3.40%,119,9.00%,0,0.00%,0,-,64,1.20%,243,2.50%,356,3.90%,609,6.20%,742,4.60%,230,1.40%,76,0.90%,238,1.90%,657,2.70%,58,10.00%,582,5.60%,809,7.40%,262,11.20%,406,7.30%,"1,721",10.00%,895,7.20%,752,9.00%,"1,840",9.50%,"1,682",7.70%,"1,433",12.00%,"2,370",6.40%,"1,749",7.60%,62,3.90%,529,5.40%,"1,160",4.80%,55,2.60%,152,3.30%,57,4.60%,0,0.00%
        Other nonrelatives,593,2.10%,726,2.30%,200,4.30%,383,1.80%,"1,427",5.60%,90,1.00%,974,4.70%,759,3.40%,179,2.80%,64,2.10%,"1,014",2.80%,331,1.80%,143,1.00%,166,2.50%,666,3.10%,275,1.40%,12,0.40%,529,4.50%,368,1.50%,434,2.30%,387,1.60%,28,2.10%,0,0.00%,0,-,425,7.70%,240,2.50%,466,5.10%,503,5.10%,"1,534",9.60%,"1,965",11.70%,698,8.40%,179,1.40%,765,3.10%,30,5.20%,578,5.50%,475,4.30%,42,1.80%,77,1.40%,577,3.30%,610,4.90%,117,1.40%,656,3.40%,866,4.00%,572,4.80%,989,2.70%,891,3.90%,87,5.50%,539,5.50%,921,3.80%,19,0.90%,135,2.90%,2,0.20%,40,8.00%
MARITAL STATUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
